SimaPro 7.3;method;Date:;7/18/2011;Time:;2:35 PM
Soil;(unspecified);Abamectin;071751-41-2;44,8;kg 1,4-DB eq / kg
Water;(unspecified);Acenaphthene;000083-32-9;0,0851;kg 1,4-DB eq / kg
Water;ocean;Acenaphthene;000083-32-9;0,000176;kg 1,4-DB eq / kg
Soil;(unspecified);Acephate;030560-19-1;94,1;kg 1,4-DB eq / kg
Air;(unspecified);Acetaldehyde;000075-07-0;4,89;kg 1,4-DB eq / kg
Air;low. pop.;Acetaldehyde;000075-07-0;0,22;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetaldehyde;000075-07-0;0,22;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetaldehyde;000075-07-0;0,22;kg 1,4-DB eq / kg
Air;(unspecified);Acetamide;000060-35-5;0,632;kg 1,4-DB eq / kg
Air;low. pop.;Acetamide;000060-35-5;0,212;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetamide;000060-35-5;0,212;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetamide;000060-35-5;0,212;kg 1,4-DB eq / kg
Water;(unspecified);Acetamide;000060-35-5;0,0381;kg 1,4-DB eq / kg
Water;ocean;Acetamide;000060-35-5;0,00000938;kg 1,4-DB eq / kg
Air;(unspecified);Acetone;000067-64-1;0,149;kg 1,4-DB eq / kg
Air;low. pop.;Acetone;000067-64-1;0,0185;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetone;000067-64-1;0,0185;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetone;000067-64-1;0,0185;kg 1,4-DB eq / kg
Water;(unspecified);Acetone;000067-64-1;0,00874;kg 1,4-DB eq / kg
Water;ocean;Acetone;000067-64-1;0,000603;kg 1,4-DB eq / kg
Air;(unspecified);Acetonitrile;000075-05-8;0,471;kg 1,4-DB eq / kg
Air;low. pop.;Acetonitrile;000075-05-8;0,0582;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetonitrile;000075-05-8;0,0582;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetonitrile;000075-05-8;0,0582;kg 1,4-DB eq / kg
Water;(unspecified);Acetonitrile;000075-05-8;0,048;kg 1,4-DB eq / kg
Water;ocean;Acetonitrile;000075-05-8;0,0087;kg 1,4-DB eq / kg
Air;(unspecified);Acetophenone;000098-86-2;0,286;kg 1,4-DB eq / kg
Air;low. pop.;Acetophenone;000098-86-2;0,0271;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acetophenone;000098-86-2;0,0271;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acetophenone;000098-86-2;0,0271;kg 1,4-DB eq / kg
Water;(unspecified);Acetophenone;000098-86-2;0,0165;kg 1,4-DB eq / kg
Water;ocean;Acetophenone;000098-86-2;0,000739;kg 1,4-DB eq / kg
Soil;(unspecified);Acifluorfen;050594-66-6;0,476;kg 1,4-DB eq / kg
Air;(unspecified);Acrolein;000107-02-8;6150;kg 1,4-DB eq / kg
Air;low. pop.;Acrolein;000107-02-8;231;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acrolein;000107-02-8;231;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acrolein;000107-02-8;231;kg 1,4-DB eq / kg
Air;(unspecified);Acrylamide;000079-06-1;389;kg 1,4-DB eq / kg
Air;low. pop.;Acrylamide;000079-06-1;29,2;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acrylamide;000079-06-1;29,2;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acrylamide;000079-06-1;29,2;kg 1,4-DB eq / kg
Water;(unspecified);Acrylamide;000079-06-1;4,86;kg 1,4-DB eq / kg
Water;ocean;Acrylamide;000079-06-1;0,00122;kg 1,4-DB eq / kg
Air;(unspecified);Acrylic acid;000079-10-7;370;kg 1,4-DB eq / kg
Air;low. pop.;Acrylic acid;000079-10-7;10,6;kg 1,4-DB eq / kg
Air;low. pop., long-term;Acrylic acid;000079-10-7;10,6;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Acrylic acid;000079-10-7;10,6;kg 1,4-DB eq / kg
Water;(unspecified);Acrylic acid;000079-10-7;0,0144;kg 1,4-DB eq / kg
Water;ocean;Acrylic acid;000079-10-7;0,00000347;kg 1,4-DB eq / kg
Water;(unspecified);Acrylonitrile;000107-13-1;5,28;kg 1,4-DB eq / kg
Water;ocean;Acrylonitrile;000107-13-1;0,672;kg 1,4-DB eq / kg
Air;(unspecified);Aldehydes, unspecified;;83,3;kg 1,4-DB eq / kg
Air;low. pop.;Aldehydes, unspecified;;16;kg 1,4-DB eq / kg
Air;low. pop., long-term;Aldehydes, unspecified;;16;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Aldehydes, unspecified;;16;kg 1,4-DB eq / kg
Soil;(unspecified);Aldicarb;000116-06-3;264;kg 1,4-DB eq / kg
Air;(unspecified);Allyl chloride;000107-05-1;10,1;kg 1,4-DB eq / kg
Air;low. pop.;Allyl chloride;000107-05-1;0,489;kg 1,4-DB eq / kg
Air;low. pop., long-term;Allyl chloride;000107-05-1;0,489;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Allyl chloride;000107-05-1;0,489;kg 1,4-DB eq / kg
Water;(unspecified);Allyl chloride;000107-05-1;0,585;kg 1,4-DB eq / kg
Water;ocean;Allyl chloride;000107-05-1;0,0339;kg 1,4-DB eq / kg
Soil;(unspecified);Alpha-cypermethrin;067375-30-8;1,69;kg 1,4-DB eq / kg
Soil;(unspecified);Aluminium phosphide;020859-73-8;33,6;kg 1,4-DB eq / kg
Soil;(unspecified);Amitraz;033089-61-1;4,91;kg 1,4-DB eq / kg
Air;(unspecified);Aniline;000062-53-3;3,87;kg 1,4-DB eq / kg
Air;low. pop.;Aniline;000062-53-3;0,784;kg 1,4-DB eq / kg
Air;low. pop., long-term;Aniline;000062-53-3;0,784;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Aniline;000062-53-3;0,784;kg 1,4-DB eq / kg
Water;(unspecified);Aniline;000062-53-3;0,642;kg 1,4-DB eq / kg
Water;ocean;Aniline;000062-53-3;0,000153;kg 1,4-DB eq / kg
Air;(unspecified);Aniline, p-chloro-, hydrochloride;020265-96-7;35,9;kg 1,4-DB eq / kg
Air;low. pop.;Aniline, p-chloro-, hydrochloride;020265-96-7;34,7;kg 1,4-DB eq / kg
Air;low. pop., long-term;Aniline, p-chloro-, hydrochloride;020265-96-7;34,7;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Aniline, p-chloro-, hydrochloride;020265-96-7;34,7;kg 1,4-DB eq / kg
Water;(unspecified);Aniline, p-chloro-, hydrochloride;020265-96-7;2,66;kg 1,4-DB eq / kg
Water;ocean;Aniline, p-chloro-, hydrochloride;020265-96-7;0,000639;kg 1,4-DB eq / kg
Air;(unspecified);Anthracene;000120-12-7;0,359;kg 1,4-DB eq / kg
Air;low. pop.;Anthracene;000120-12-7;0,102;kg 1,4-DB eq / kg
Air;low. pop., long-term;Anthracene;000120-12-7;0,102;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Anthracene;000120-12-7;0,102;kg 1,4-DB eq / kg
Water;(unspecified);Anthracene;000120-12-7;0,00339;kg 1,4-DB eq / kg
Water;ocean;Anthracene;000120-12-7;0,0000149;kg 1,4-DB eq / kg
Soil;(unspecified);Anthracene;000120-12-7;0,0513;kg 1,4-DB eq / kg
Air;(unspecified);Antimony;007440-36-0;6760;kg 1,4-DB eq / kg
Air;low. pop.;Antimony;007440-36-0;2960;kg 1,4-DB eq / kg
Air;low. pop., long-term;Antimony;007440-36-0;2960;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Antimony;007440-36-0;2960;kg 1,4-DB eq / kg
Water;(unspecified);Antimony;007440-36-0;574;kg 1,4-DB eq / kg
Water;ocean;Antimony;007440-36-0;32,2;kg 1,4-DB eq / kg
Soil;(unspecified);Antimony;007440-36-0;304;kg 1,4-DB eq / kg
Soil;agricultural;Antimony;007440-36-0;278;kg 1,4-DB eq / kg
Soil;forestry;Antimony;007440-36-0;200;kg 1,4-DB eq / kg
Air;(unspecified);Arsenic;007440-38-2;51300;kg 1,4-DB eq / kg
Air;low. pop.;Arsenic;007440-38-2;72000;kg 1,4-DB eq / kg
Air;low. pop., long-term;Arsenic;007440-38-2;72000;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Arsenic;007440-38-2;72000;kg 1,4-DB eq / kg
Soil;(unspecified);Arsenic;007440-38-2;273;kg 1,4-DB eq / kg
Soil;agricultural;Arsenic;007440-38-2;2760;kg 1,4-DB eq / kg
Soil;forestry;Arsenic;007440-38-2;197;kg 1,4-DB eq / kg
Water;(unspecified);Arsenic, ion;017428-41-0;14900;kg 1,4-DB eq / kg
Water;ocean;Arsenic, ion;017428-41-0;1480;kg 1,4-DB eq / kg
Soil;(unspecified);Asulam;003337-71-1;0,00297;kg 1,4-DB eq / kg
Soil;(unspecified);Atrazine;001912-24-9;2,25;kg 1,4-DB eq / kg
Soil;(unspecified);Azinphos-methyl;000086-50-0;0,716;kg 1,4-DB eq / kg
Air;(unspecified);Barium;007440-39-3;691;kg 1,4-DB eq / kg
Air;low. pop.;Barium;007440-39-3;611;kg 1,4-DB eq / kg
Air;low. pop., long-term;Barium;007440-39-3;611;kg 1,4-DB eq / kg
Air;stratosphere + troposphere;Barium;007440-39-3;611;kg 1,4-DB eq / kg
Water;(unspecified);Barium;007440-39-3;412;kg 1,4-DB eq / kg
Water;ocean;Barium;007440-39-3;18,5;kg 1,4-DB eq / kg
Soil;(unspecified);Barium;007440-39-3;166;kg 1,4-DB eq / kg
Soil;agricultural;Barium;007440-39-3;125;kg 1,4-DB eq / kg
Soil;forestry;Barium;007440-39-3;64,4;kg 1,4-DB eq / kg
Soil;(unspecified);Bendiocarb;022781-23-3;3,38;kg 1,4-DB eq / kg
Soil;(unspecified);Benomyl;017804-35-2;0,00123;kg 1,4-DB eq / kg
Soil;(unspecified);Bentazone;025057-89-0;2,5;kg 1,4-DB eq / kg
Air;(unspecified);Benzaldehyde;000100-52-7;0,778;kg 1,4-DB eq / kg
Air;low. pop.;Benzaldehyde;000100-52-7;0,0403;kg 1,4-DB eq / kg
Air;low. pop., long-term;Benzaldehyde;000100-52-7;0,0403;kg 1,4-DB eq / kg
